Geographical Location (Latitude),Geographical Location (Longitude),Sampling Date,Nitrogen (mg/L),Phosphorus (mg/L),State of Sewage System,Location
44.75945157,8.061187965,7/23/2017,6.941845393,2.800169426,Poor,"(44.75945157, 8.061187965)"
-87.04266667,-47.09171047,5/19/2018,6.533534726,2.64573928,Poor,"(-87.04266667, -47.09171047)"
77.31527702,-105.3575405,7/23/2017,0.217154968,4.937467411,Good,"(77.31527702, -105.3575405)"
30.58497839,82.77830401,3/7/2022,6.422902891,2.027681364,Moderate,"(30.58497839, 82.77830401)"
-2.587032732,-8.77800148,11/12/2023,2.006997142,1.812413794,Poor,"(-2.587032732, -8.77800148)"
67.77094416,-29.34699752,4/17/2020,1.222389704,3.566328575,Moderate,"(67.77094416, -29.34699752)"
-48.29370724,-178.5648271,1/28/2022,2.838291007,1.587611331,Poor,"(-48.29370724, -178.5648271)"
80.87738803,-4.840213127,1/18/2019,6.658489631,1.501031622,Good,"(80.87738803, -4.840213127)"
-87.6173656,-77.5721945,1/23/2016,0.337615076,1.11175549,Good,"(-87.6173656, -77.5721945)"
-23.6547709,24.15338088,3/14/2017,4.091814117,1.047321478,Good,"(-23.6547709, 24.15338088)"
2.037416858,163.4795018,4/1/2015,3.248520945,4.715320808,Good,"(2.037416858, 163.4795018)"
-30.03387263,103.8330378,4/1/2023,3.542171358,3.40320518,Moderate,"(-30.03387263, 103.8330378)"
-75.4017498,-131.4071214,12/15/2015,9.897002057,1.241111544,Moderate,"(-75.4017498, -131.4071214)"
-87.94305745,-179.3341017,6/25/2018,3.046387807,0.812965859,Good,"(-87.94305745, -179.3341017)"
-63.54960383,159.0702068,7/27/2017,0.504180011,3.529001146,Good,"(-63.54960383, 159.0702068)"
-75.68602513,111.4896924,2/11/2015,5.086813632,3.386320866,Good,"(-75.68602513, 111.4896924)"
-73.87145384,-99.20859337,6/9/2017,9.075888608,0.999519515,Good,"(-73.87145384, -99.20859337)"
10.32638244,-143.2114497,7/18/2014,1.584037311,4.059127931,Good,"(10.32638244, -143.2114497)"
64.89921129,36.91718364,1/19/2019,3.458118427,3.613028494,Moderate,"(64.89921129, 36.91718364)"
-43.30393842,-73.11446191,2/28/2023,9.767572925,3.075042019,Poor,"(-43.30393842, -73.11446191)"
-7.225940924,-25.78343684,5/12/2020,6.279409055,0.927842666,Poor,"(-7.225940924, -25.78343684)"
1.803033417,-60.64275272,4/26/2014,9.471306179,3.445512112,Good,"(1.803033417, -60.64275272)"
32.65065191,133.9820401,2/11/2017,7.444165556,0.031181662,Good,"(32.65065191, 133.9820401)"
-19.31837822,104.4186712,12/26/2021,5.538065012,3.318421674,Moderate,"(-19.31837822, 104.4186712)"
7.885071014,117.6315395,8/16/2017,0.130647141,0.773009912,Good,"(7.885071014, 117.6315395)"
68.76745384,136.4060164,7/4/2017,8.425149456,4.57390822,Moderate,"(68.76745384, 136.4060164)"
-18.17544209,157.2276056,8/26/2015,0.438341663,1.965527629,Good,"(-18.17544209, 157.2276056)"
64.39007595,-130.2166155,7/3/2016,1.240028385,0.497210395,Good,"(64.39007595, -130.2166155)"
-7.699778396,-2.291633238,1/9/2019,5.666315402,0.053732139,Poor,"(-7.699778396, -2.291633238)"
56.79428738,-177.266895,6/3/2022,3.207446902,3.319888803,Good,"(56.79428738, -177.266895)"
23.20171903,36.49599771,7/9/2022,8.795694095,1.013888356,Good,"(23.20171903, 36.49599771)"
-43.43686796,-84.9996862,3/31/2015,7.728855308,3.409025934,Good,"(-43.43686796, -84.9996862)"
82.61688994,110.7336416,8/3/2017,0.859655355,3.543912239,Good,"(82.61688994, 110.7336416)"
-72.06931256,76.65660045,1/14/2020,4.525850543,3.422582095,Moderate,"(-72.06931256, 76.65660045)"
66.5079355,-123.3611611,6/7/2017,0.891209868,3.351829891,Moderate,"(66.5079355, -123.3611611)"
-31.19384128,-55.36330253,1/29/2020,8.344366978,2.992377461,Good,"(-31.19384128, -55.36330253)"
-12.81676995,-7.540492293,1/19/2016,6.666700968,1.696848611,Poor,"(-12.81676995, -7.540492293)"
-66.41005838,-83.70599712,12/30/2017,0.40502186,0.322910991,Moderate,"(-66.41005838, -83.70599712)"
-69.21282652,-62.88771913,12/16/2017,8.760423798,1.005773337,Good,"(-69.21282652, -62.88771913)"
-16.37026283,64.31506321,8/29/2022,4.376778881,3.106575321,Good,"(-16.37026283, 64.31506321)"
-1.745037621,179.8766346,9/30/2015,6.562158045,0.475272361,Moderate,"(-1.745037621, 179.8766346)"
29.25082288,166.6659059,1/10/2017,0.180009969,0.254524034,Moderate,"(29.25082288, 166.6659059)"
29.85464116,-40.88179765,11/2/2022,5.235532209,0.685230693,Good,"(29.85464116, -40.88179765)"
59.15824462,-79.46328381,2/24/2014,8.986892132,4.299050535,Good,"(59.15824462, -79.46328381)"
72.8907022,-76.14857175,3/31/2021,6.987558921,0.834753997,Poor,"(72.8907022, -76.14857175)"
88.56202381,-151.0030053,1/10/2015,7.305405546,4.521045071,Moderate,"(88.56202381, -151.0030053)"
-47.98435402,-168.2421524,6/20/2022,5.302009118,1.430037944,Moderate,"(-47.98435402, -168.2421524)"
34.15828771,-41.2194982,7/29/2014,8.653084264,1.539316117,Poor,"(34.15828771, -41.2194982)"
-79.49585538,116.6187128,7/30/2018,3.370299294,3.367858504,Poor,"(-79.49585538, 116.6187128)"
68.70963822,123.7580808,10/1/2018,9.445219276,3.173873283,Good,"(68.70963822, 123.7580808)"
-21.76975871,-121.7780916,8/26/2018,6.829894995,0.307154395,Moderate,"(-21.76975871, -121.7780916)"
-59.06644217,76.01972051,1/26/2017,9.842898496,2.207707661,Poor,"(-59.06644217, 76.01972051)"
79.66504795,93.85376933,7/9/2017,8.352312376,3.234359412,Good,"(79.66504795, 93.85376933)"
-14.85245254,16.42214102,7/24/2016,3.347762054,2.25954068,Moderate,"(-14.85245254, 16.42214102)"
18.74120472,175.5817726,11/20/2018,5.373569662,0.810911625,Good,"(18.74120472, 175.5817726)"
8.4392823,0.790379978,8/17/2023,1.366202224,0.110646276,Good,"(8.4392823, 0.790379978)"
-34.13145132,161.8838933,4/2/2016,7.486756858,1.4659621,Moderate,"(-34.13145132, 161.8838933)"
-81.23574672,-15.33723912,2/27/2014,0.115921381,0.016455452,Good,"(-81.23574672, -15.33723912)"
-44.34434563,-56.23765103,1/5/2016,0.437715339,2.355545249,Good,"(-44.34434563, -56.23765103)"
7.862049689,54.99763477,10/15/2018,5.719399223,0.331679813,Moderate,"(7.862049689, 54.99763477)"
-39.11406283,9.621147802,2/25/2021,9.23593984,0.681385031,Good,"(-39.11406283, 9.621147802)"
-16.93038205,139.1875263,12/11/2017,2.088327922,0.907509169,Poor,"(-16.93038205, 139.1875263)"
-39.76776932,64.37038486,10/13/2014,1.61680509,3.42429157,Good,"(-39.76776932, 64.37038486)"
83.29865757,20.77895807,4/11/2019,7.853699746,2.067864523,Moderate,"(83.29865757, 20.77895807)"
-86.96309879,-93.24185229,10/20/2018,0.761907736,3.016491566,Moderate,"(-86.96309879, -93.24185229)"
52.35122938,66.18779268,7/13/2015,4.951912459,2.01412956,Poor,"(52.35122938, 66.18779268)"
3.591427423,43.98051754,8/25/2020,8.89110056,2.64878881,Good,"(3.591427423, 43.98051754)"
34.91215397,4.274047131,1/19/2021,6.227798235,3.422466367,Moderate,"(34.91215397, 4.274047131)"
7.448542876,-48.49133624,1/17/2019,1.609145925,1.480265897,Moderate,"(7.448542876, -48.49133624)"
-35.99479449,103.785532,9/6/2023,6.845180295,0.051847763,Moderate,"(-35.99479449, 103.785532)"
-61.15851606,-144.7802008,4/22/2021,5.728960346,1.871019032,Poor,"(-61.15851606, -144.7802008)"
-82.86920594,38.17074171,7/30/2019,4.472265028,2.35199578,Poor,"(-82.86920594, 38.17074171)"
73.39193235,-160.8354593,11/10/2015,0.575744946,1.532759989,Good,"(73.39193235, -160.8354593)"
-35.19965442,45.54653036,2/9/2020,9.208905145,1.132064994,Good,"(-35.19965442, 45.54653036)"
89.63320524,-76.06349296,3/27/2015,8.684589885,0.706919813,Good,"(89.63320524, -76.06349296)"
-58.56149063,149.9528018,12/8/2023,6.435675397,2.413154765,Good,"(-58.56149063, 149.9528018)"
-4.023629482,91.39044144,12/1/2020,7.227564244,2.47634613,Good,"(-4.023629482, 91.39044144)"
-7.826419573,126.5854014,7/8/2019,5.566874737,3.682522791,Poor,"(-7.826419573, 126.5854014)"
-28.18948882,109.8134371,10/31/2017,1.707670602,0.972800702,Moderate,"(-28.18948882, 109.8134371)"
16.38484216,-138.11856,12/7/2016,9.653754628,3.949743962,Good,"(16.38484216, -138.11856)"
-26.65926069,101.041221,7/28/2021,0.978104144,2.403522592,Poor,"(-26.65926069, 101.041221)"
70.16285816,-39.1690462,3/5/2014,1.545985243,2.618509403,Good,"(70.16285816, -39.1690462)"
82.57336615,-75.08087903,11/11/2023,6.514235951,3.431267385,Good,"(82.57336615, -75.08087903)"
-68.88231353,-110.8593369,3/16/2017,0.869180048,1.397025945,Good,"(-68.88231353, -110.8593369)"
-69.14987977,139.0481773,6/27/2020,7.710118451,3.641665821,Good,"(-69.14987977, 139.0481773)"
-7.72942296,-69.76119817,7/30/2020,0.611770487,2.337892266,Good,"(-7.72942296, -69.76119817)"
86.39321874,22.56796185,9/8/2014,5.537840957,2.13798851,Moderate,"(86.39321874, 22.56796185)"
-13.73285638,-13.50632198,6/11/2015,9.169402188,1.062018009,Good,"(-13.73285638, -13.50632198)"
27.615809,-141.0176166,3/8/2020,8.678698179,1.201615584,Moderate,"(27.615809, -141.0176166)"
40.7416436,112.2494029,5/18/2015,0.649390242,4.22632447,Moderate,"(40.7416436, 112.2494029)"
6.285033887,-159.2964272,1/1/2018,9.659110505,0.424982844,Good,"(6.285033887, -159.2964272)"
-55.69795531,-177.7360431,1/20/2014,2.288968412,3.674198298,Poor,"(-55.69795531, -177.7360431)"
-42.29285429,26.16642825,2/22/2020,0.187635607,1.206283313,Good,"(-42.29285429, 26.16642825)"
49.221998,-145.8871935,7/2/2019,2.072415683,2.641645822,Good,"(49.221998, -145.8871935)"
45.18389679,-173.0881615,10/7/2019,7.580450057,0.499253666,Poor,"(45.18389679, -173.0881615)"
-19.33761808,-144.0947129,3/7/2023,2.374390342,3.811961491,Poor,"(-19.33761808, -144.0947129)"
-24.38196732,-177.7154292,1/20/2023,9.978338744,2.271077489,Good,"(-24.38196732, -177.7154292)"
84.7316597,-53.61905339,7/11/2016,5.494923561,4.081744232,Good,"(84.7316597, -53.61905339)"
-57.85560575,-150.1656949,10/18/2022,9.613175431,2.840771092,Moderate,"(-57.85560575, -150.1656949)"
-41.90273426,-12.0539327,6/22/2021,6.412886439,4.588387834,Moderate,"(-41.90273426, -12.0539327)"
-89.750997,-60.06502703,5/1/2018,9.937935133,0.348045566,Good,"(-89.750997, -60.06502703)"
-45.41669595,20.72336569,5/7/2020,1.796691062,3.472281048,Good,"(-45.41669595, 20.72336569)"
64.57994428,11.91017058,8/30/2019,8.718842493,4.907484518,Good,"(64.57994428, 11.91017058)"
-7.469429928,39.15661309,9/26/2022,3.503710813,0.265508375,Good,"(-7.469429928, 39.15661309)"
52.53832253,-111.6525014,3/24/2023,1.151848925,3.904634854,Poor,"(52.53832253, -111.6525014)"
-45.9198937,-27.61889672,3/30/2018,1.880956317,0.425448932,Good,"(-45.9198937, -27.61889672)"
-13.15721516,157.7093745,7/2/2018,5.835443162,4.024605994,Poor,"(-13.15721516, 157.7093745)"
-61.8509972,-146.0190831,11/29/2020,2.209201659,4.143225925,Good,"(-61.8509972, -146.0190831)"
-35.24423551,-81.81455187,8/18/2019,4.151328832,1.383912225,Moderate,"(-35.24423551, -81.81455187)"
-44.92832169,159.8157091,8/7/2018,0.952818659,0.614201125,Moderate,"(-44.92832169, 159.8157091)"
-16.5054765,-178.3846051,3/3/2016,0.159817567,4.388007799,Poor,"(-16.5054765, -178.3846051)"
55.68569487,50.37104022,8/3/2019,5.04499777,4.050049175,Moderate,"(55.68569487, 50.37104022)"
-25.66356271,94.54570759,12/12/2018,6.932529805,2.241287412,Moderate,"(-25.66356271, 94.54570759)"
-69.7630829,-52.83286305,11/23/2018,1.960386724,0.549962365,Good,"(-69.7630829, -52.83286305)"
44.14193281,-19.20315341,6/2/2022,6.928307853,3.834654083,Poor,"(44.14193281, -19.20315341)"
54.52080688,68.23466218,1/25/2018,7.54855132,3.027333111,Moderate,"(54.52080688, 68.23466218)"
19.02815231,65.81562703,6/6/2023,5.591532221,4.523250699,Poor,"(19.02815231, 65.81562703)"
38.70946754,45.19607357,7/24/2018,4.374427336,3.954072414,Good,"(38.70946754, 45.19607357)"
-14.74034189,-131.5061237,8/15/2016,4.302508533,0.281076131,Good,"(-14.74034189, -131.5061237)"
75.51133324,148.879558,7/10/2023,8.725931422,0.264262168,Moderate,"(75.51133324, 148.879558)"
37.88203671,11.34339936,4/29/2014,2.191004327,3.976973456,Good,"(37.88203671, 11.34339936)"
-25.3808499,141.3879436,11/30/2020,6.85392651,3.361386389,Good,"(-25.3808499, 141.3879436)"
76.19495536,-89.07730564,9/9/2019,9.564785825,4.076658387,Good,"(76.19495536, -89.07730564)"
-63.39575987,-45.35783039,8/11/2015,2.438109509,1.814824857,Good,"(-63.39575987, -45.35783039)"
-43.75500414,155.3265232,3/15/2019,7.146982951,4.553434267,Moderate,"(-43.75500414, 155.3265232)"
67.24022891,7.08619229,1/17/2023,2.71744474,4.401036804,Poor,"(67.24022891, 7.08619229)"
-33.02233922,-167.971805,11/10/2017,6.667426245,4.880920331,Moderate,"(-33.02233922, -167.971805)"
-25.67756166,10.80010986,8/18/2015,0.98115106,0.844665108,Poor,"(-25.67756166, 10.80010986)"
13.98769638,39.05459594,7/29/2016,9.256565639,1.466253347,Moderate,"(13.98769638, 39.05459594)"
-79.31102616,-98.51565004,1/3/2023,9.21636035,2.045577184,Moderate,"(-79.31102616, -98.51565004)"
67.68483263,86.4894097,2/15/2019,6.833339768,3.461301897,Good,"(67.68483263, 86.4894097)"
75.33836121,23.98440701,4/2/2023,6.540488612,1.482879322,Poor,"(75.33836121, 23.98440701)"
-68.37836721,76.11743178,10/11/2020,9.799305382,4.921712015,Poor,"(-68.37836721, 76.11743178)"
71.97601374,139.1743624,6/12/2018,5.162532781,1.086331497,Good,"(71.97601374, 139.1743624)"
65.42471685,71.60568761,7/27/2015,8.817497777,1.793246552,Moderate,"(65.42471685, 71.60568761)"
46.32554578,-140.7587982,9/24/2020,5.038606329,0.585402326,Poor,"(46.32554578, -140.7587982)"
-33.3768069,-178.3843192,8/29/2015,5.464979973,3.266336163,Moderate,"(-33.3768069, -178.3843192)"
9.836110552,-8.192872538,12/16/2018,0.447500279,2.468405099,Good,"(9.836110552, -8.192872538)"
72.56693643,-0.288489258,6/8/2023,6.598031828,3.16786757,Moderate,"(72.56693643, -0.288489258)"
-72.0480695,172.4771093,8/14/2016,0.982577598,0.254897986,Poor,"(-72.0480695, 172.4771093)"
-4.393958925,110.9436437,1/29/2021,5.541706963,4.240482092,Moderate,"(-4.393958925, 110.9436437)"
57.60403846,-64.38998624,8/22/2018,1.378166581,3.081577234,Good,"(57.60403846, -64.38998624)"
-30.55193357,164.0421139,1/5/2015,9.086170553,4.321913593,Moderate,"(-30.55193357, 164.0421139)"
56.49842555,-159.303698,10/18/2023,2.074470527,1.543631681,Moderate,"(56.49842555, -159.303698)"
-77.60664639,132.529914,1/8/2014,0.154473866,1.328973858,Poor,"(-77.60664639, 132.529914)"
37.02780792,-174.4188247,2/26/2021,7.054906789,2.877417317,Poor,"(37.02780792, -174.4188247)"
-18.85801616,20.63060004,9/13/2019,9.624615873,0.467472027,Good,"(-18.85801616, 20.63060004)"
-50.82068818,114.0323231,1/25/2018,7.272788795,1.70666317,Moderate,"(-50.82068818, 114.0323231)"
-57.63684765,-18.91160408,9/26/2015,6.686507698,1.546786508,Good,"(-57.63684765, -18.91160408)"
-3.589040192,134.7343063,3/25/2022,8.556219105,2.832790458,Moderate,"(-3.589040192, 134.7343063)"
40.30945173,130.4967345,5/11/2015,6.977346787,0.104600582,Good,"(40.30945173, 130.4967345)"
67.2897921,163.6764399,9/23/2015,6.124675227,1.977072646,Good,"(67.2897921, 163.6764399)"
-87.80919175,2.296092012,2/6/2021,3.245969491,4.648924297,Poor,"(-87.80919175, 2.296092012)"
-88.18853478,1.750995421,10/5/2014,2.900446393,1.423975835,Poor,"(-88.18853478, 1.750995421)"
-4.351284746,109.2681261,12/4/2023,8.068054735,2.156597515,Moderate,"(-4.351284746, 109.2681261)"
-70.6549378,86.11977411,7/16/2014,6.057465291,4.361051738,Poor,"(-70.6549378, 86.11977411)"
-38.24198959,59.59552669,1/3/2018,0.403243853,2.606827136,Good,"(-38.24198959, 59.59552669)"
-7.793347345,125.4520561,6/5/2019,4.333122495,0.246525272,Moderate,"(-7.793347345, 125.4520561)"
-47.54983966,-158.4232209,8/1/2016,4.370505474,4.482188816,Good,"(-47.54983966, -158.4232209)"
80.7372542,87.92576671,9/7/2022,5.590324193,0.705883064,Moderate,"(80.7372542, 87.92576671)"
-5.137682516,-75.9310978,10/26/2015,9.396521166,3.70499431,Good,"(-5.137682516, -75.9310978)"
22.80716567,-119.4275075,4/9/2014,4.234053213,2.303270188,Poor,"(22.80716567, -119.4275075)"
-85.63091317,-149.207906,10/1/2014,8.968811675,0.624472174,Moderate,"(-85.63091317, -149.207906)"
-89.04419143,39.24452938,5/26/2017,3.013838435,1.438689614,Good,"(-89.04419143, 39.24452938)"
-87.95607687,128.1678954,2/4/2018,8.793985041,2.90011325,Good,"(-87.95607687, 128.1678954)"
34.47145941,91.98815446,4/27/2014,0.507439433,1.117708873,Poor,"(34.47145941, 91.98815446)"
74.39118136,-131.9073278,12/2/2016,9.070403751,3.762301843,Moderate,"(74.39118136, -131.9073278)"
69.30393322,-128.7453905,10/19/2018,5.880851557,1.286540513,Good,"(69.30393322, -128.7453905)"
-71.95468607,-10.06331655,11/3/2018,5.562605805,0.180643611,Moderate,"(-71.95468607, -10.06331655)"
84.06988525,141.2427535,9/24/2016,1.809790377,2.861094377,Good,"(84.06988525, 141.2427535)"
20.71044371,173.0850881,6/22/2014,7.165894253,2.313042668,Good,"(20.71044371, 173.0850881)"
59.06639038,129.1917368,11/23/2018,1.793463799,4.137503999,Poor,"(59.06639038, 129.1917368)"
-78.10663251,-42.30077284,7/19/2014,7.715362133,3.72805456,Good,"(-78.10663251, -42.30077284)"
-42.69600786,-166.6809328,2/7/2014,5.697001935,2.070015549,Good,"(-42.69600786, -166.6809328)"
-66.95624332,75.82635237,5/8/2020,6.158302768,3.765532025,Moderate,"(-66.95624332, 75.82635237)"
-19.38259079,-138.7556003,9/2/2014,8.606183603,4.97412061,Poor,"(-19.38259079, -138.7556003)"
1.141725478,-70.17946639,9/21/2022,5.636268271,3.206838382,Moderate,"(1.141725478, -70.17946639)"
54.04600865,25.53939653,3/23/2023,4.77099166,3.204782568,Moderate,"(54.04600865, 25.53939653)"
82.00231092,55.59046179,5/26/2023,7.430239731,0.480242416,Poor,"(82.00231092, 55.59046179)"
-33.0209622,56.48368041,5/25/2021,9.78015877,2.093602889,Moderate,"(-33.0209622, 56.48368041)"
-36.15234398,52.45884733,1/16/2022,6.738709657,2.569532359,Poor,"(-36.15234398, 52.45884733)"
-20.08725891,114.2560121,9/8/2023,8.937966175,3.719365942,Good,"(-20.08725891, 114.2560121)"
-23.85444199,84.4123478,12/11/2023,9.507567345,3.76296012,Good,"(-23.85444199, 84.4123478)"
-21.61909732,-173.5688928,12/11/2018,1.150022791,1.273307835,Good,"(-21.61909732, -173.5688928)"
0.441553376,-99.34297264,5/19/2023,2.495443983,2.596919851,Poor,"(0.441553376, -99.34297264)"
-63.29179122,-172.5057758,1/15/2023,3.843206248,3.255282877,Good,"(-63.29179122, -172.5057758)"
46.33318005,87.05885346,6/22/2022,7.698060362,4.174303337,Moderate,"(46.33318005, 87.05885346)"
-89.16212937,-61.09920263,11/25/2019,2.120673811,4.499855938,Good,"(-89.16212937, -61.09920263)"
-78.71600484,-116.7179981,1/22/2020,5.51996647,1.888780331,Good,"(-78.71600484, -116.7179981)"
12.4716456,144.608515,8/5/2022,2.766939227,4.877807218,Good,"(12.4716456, 144.608515)"
51.82483517,-147.8064101,8/11/2016,5.268272499,2.251234127,Good,"(51.82483517, -147.8064101)"
9.952939344,-105.5826878,3/6/2018,6.229844241,3.77780645,Good,"(9.952939344, -105.5826878)"
-7.222462669,-0.999878257,10/13/2021,8.053902224,0.269809767,Moderate,"(-7.222462669, -0.999878257)"
13.24975445,-108.2044563,4/10/2018,3.657778504,4.426126717,Good,"(13.24975445, -108.2044563)"
24.94965198,84.63896582,5/17/2019,7.292706618,2.229234468,Good,"(24.94965198, 84.63896582)"
48.62306235,-116.7980831,4/15/2014,7.064344119,3.675520468,Moderate,"(48.62306235, -116.7980831)"
0.37900453,-21.24960928,4/13/2021,7.607614313,1.60018852,Good,"(0.37900453, -21.24960928)"
52.84212625,98.95613279,7/28/2016,2.689500416,2.582316997,Good,"(52.84212625, 98.95613279)"
-35.88279143,-21.74252927,2/21/2023,9.447110282,2.845637235,Moderate,"(-35.88279143, -21.74252927)"
-30.49266586,-112.8240797,8/4/2023,1.072400551,2.657218616,Moderate,"(-30.49266586, -112.8240797)"
89.29282878,131.2393954,5/8/2019,1.132770174,0.663730601,Poor,"(89.29282878, 131.2393954)"
69.18486538,178.840177,7/1/2020,7.400778856,4.011069235,Good,"(69.18486538, 178.840177)"
-87.43472727,124.6825613,10/17/2022,9.477144523,2.254636506,Good,"(-87.43472727, 124.6825613)"
-78.27813566,171.7378364,11/7/2014,4.695363146,4.741111692,Poor,"(-78.27813566, 171.7378364)"
-81.97720002,49.61981498,8/2/2018,9.432625181,4.260787481,Moderate,"(-81.97720002, 49.61981498)"
86.84007894,-151.2035839,1/22/2020,4.76961643,3.304673592,Good,"(86.84007894, -151.2035839)"
-76.45008963,27.57294822,5/5/2017,3.134042557,2.38814595,Moderate,"(-76.45008963, 27.57294822)"
8.68613075,85.54027123,1/21/2018,6.784759743,3.033373125,Moderate,"(8.68613075, 85.54027123)"
82.23670244,49.07715204,4/25/2021,5.755894282,0.600435417,Good,"(82.23670244, 49.07715204)"
49.47836028,47.02281946,12/3/2020,8.167238103,0.974396497,Good,"(49.47836028, 47.02281946)"
79.92584396,81.02758676,5/6/2019,8.08760458,3.192646545,Poor,"(79.92584396, 81.02758676)"
-83.39554478,59.95823892,4/3/2014,6.045617839,1.957930094,Moderate,"(-83.39554478, 59.95823892)"
2.902266133,-45.53211787,6/6/2023,1.742384328,1.977903331,Poor,"(2.902266133, -45.53211787)"
-50.4250602,19.04390579,7/16/2020,1.23028001,4.400082847,Good,"(-50.4250602, 19.04390579)"
-9.993788037,-141.094947,8/4/2021,0.11240245,3.296850174,Good,"(-9.993788037, -141.094947)"
